,0
533,1
534,1
535,1
536,0
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,1
545,0
546,1
547,0
548,0
549,0
550,0
551,1
552,1
553,0
554,0
555,0
556,0
557,1
558,0
559,0
560,1
561,1
562,1
563,1
564,1
565,0
566,0
567,0
568,1
569,0
570,1
571,0
572,0
573,1
574,0
575,1
576,1
577,1
578,1
579,1
580,0
581,1
582,1
583,1
584,0
585,1
586,1
587,1
588,1
589,1
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,1
604,1
605,0
606,0
607,0
608,0
609,0
610,1
611,0
612,1
613,1
614,0
615,1
616,1
617,1
618,1
619,0
620,1
621,0
622,0
623,0
624,1
625,1
626,1
627,1
628,1
629,0
630,0
631,1
632,1
633,0
634,1
635,0
636,0
637,0
638,1
639,0
640,0
641,0
642,0
643,1
644,1
645,1
646,1
647,0
648,0
649,1
650,0
651,0
652,1
653,0
654,1
655,0
656,1
657,1
658,1
659,0
660,0
661,1
662,1
663,0
664,0
665,0
666,1
667,0
668,0
669,0
670,1
671,0
672,1
673,1
674,1
675,0
676,1
677,1
678,1
679,1
680,1
681,0
682,0
683,1
684,0
685,1
686,1
687,1
688,1
689,1
690,0
691,1
692,0
693,1
694,0
695,0
696,1
697,1
698,0
699,1
700,1
701,0
702,0
703,0
704,1
705,1
706,0
707,0
708,0
709,0
710,1
711,1
712,0
713,0
714,1
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,1
724,1
725,0
726,0
727,1
728,1
729,0
730,1
731,0
732,1
733,0
734,1
735,0
736,1
737,1
738,1
739,1
740,1
741,0
742,0
743,1
744,1
745,1
746,1
747,1
748,0
749,1
750,0
751,0
752,1
753,1
754,1
755,0
756,1
757,1
758,1
759,0
760,1
761,0
762,1
763,0
764,0
765,0
766,1
767,1
768,0
769,0
770,1
771,0
772,1
773,0
774,1
775,1
776,1
777,1
778,0
779,0
780,1
781,1
782,0
783,1
784,1
785,0
786,0
787,0
788,0
789,0
790,1
791,1
792,1
793,0
794,1
795,0
796,0
797,1
798,0
799,0
