CaseOrder,Population_Within_A_Mile,Children_Count,Age,Income,Churn,Outage_Seconds_Per_Week,Email_Sent_To_Customer_Count,Technical_Support_Contacted_Count,Yearly_Equip_Failure_Count,Is_Techie,Has_Port_Modem,Has_Tablet,Has_Phone_Service,Has_Multiple_Lines,Has_Online_Security,Has_Online_Backup,Has_Device_Protection,Has_Tech_Support,Has_Streaming_TV,Has_Streaming_Movies,Has_Paperless_Billing,Tenure,Avg_Monthly_Charge,Avg_Bandwidth_GB_Usage_Per_Year,Area_Rural,Area_Suburban,Area_Urban,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Never Married,Marital_Status_Separated,Marital_Status_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Contract_Term_Month-to-month,Contract_Term_One year,Contract_Term_Two Year,Internet_Service_Type_DSL,Internet_Service_Type_Fiber Optic,Internet_Service_Type_None,Payment_Method_Type_Bank Transfer(automatic),Payment_Method_Type_Credit Card (automatic),Payment_Method_Type_Electronic Check,Payment_Method_Type_Mailed Check
31,11268,9,45,43383.54,0,6.6130708060000005,14,0,0,0,1,0,0,0,0,1,0,0,1,1,1,11.08287797,230.105118,1795.465729,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
32,1765,0,40,21793.88,0,4.4501716469999995,13,2,0,0,0,1,1,1,0,1,0,1,0,0,0,3.5861849539999997,147.489301,492.4771472,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
33,680,6,82,51960.51,1,8.774646693,9,0,0,0,1,1,1,0,0,1,0,0,1,1,1,4.727388465,230.105118,1013.993166,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
34,136,5,74,25942.1,1,11.13156721,8,1,1,0,0,0,1,1,1,1,0,0,1,0,0,20.89923386,174.95811799999998,2680.762173,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
35,1517,4,69,11211.59,1,5.540788887000001,15,1,0,0,1,0,1,1,1,0,1,1,1,1,0,3.471329958,267.664655,1081.8143619999998,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
36,14103,1,52,8283.29,1,13.80362698,11,0,1,0,1,0,1,1,1,1,0,1,0,0,1,5.478588203999999,162.48326699999998,1209.961168,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
37,6394,2,26,10114.81,1,16.31017089,16,1,1,0,1,0,1,1,1,1,1,1,0,1,1,3.3129918089999997,229.993134,897.5919144,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
38,5059,1,25,36229.21,0,9.447065309,9,2,0,0,1,1,1,1,1,0,1,0,0,0,1,7.161561527000001,140.00128,1340.9301560000001,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
39,20450,1,66,25397.44,0,16.84100845,12,1,0,0,1,0,1,0,1,1,0,1,0,1,0,9.847563363999999,184.964681,1113.993679,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
40,2123,1,72,50336.5,0,7.972937227,10,1,1,0,1,0,1,0,0,1,1,0,0,0,0,16.04202196,147.47384399999999,1530.10769,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
41,1164,3,21,38211.37,0,11.42906608,12,1,0,0,0,0,1,0,0,1,1,0,1,0,1,9.179779682000001,172.45785700000002,1310.137419,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
42,23,3,55,52887.26,0,8.06137096,16,2,0,0,1,0,1,0,1,0,0,1,0,0,1,3.0028441439999995,107.48198899999998,892.8964931,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
43,895,4,41,12003.33,1,12.54780492,11,1,2,0,1,0,1,1,1,0,0,1,1,1,0,3.924254455,255.141716,1125.581944,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
44,6699,4,32,24090.62,0,8.255565152,13,0,0,0,1,1,1,1,0,0,0,1,0,1,1,18.55959629,192.45674499999998,2016.7100309999998,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
45,35743,0,22,15137.93,1,13.156514000000001,6,0,0,0,1,0,1,1,1,0,0,0,1,1,1,8.798394712,242.632554,1412.736809,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
46,320,2,44,54458.38,1,10.58349704,5,1,0,0,1,1,1,1,1,1,1,0,1,1,1,10.377366,245.174977,1710.689671,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
47,7870,2,23,132116.33,1,12.50184778,11,1,0,0,1,0,1,0,1,1,0,1,0,1,1,22.25746016,184.964681,2384.885909,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
48,861,3,43,37358.13,1,9.750038902,11,1,0,1,0,0,1,1,1,1,1,1,0,0,1,9.427146079,195.006206,1213.940165,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
49,15364,1,86,26534.16,0,7.8686608510000005,11,2,2,0,1,0,1,0,0,0,0,0,1,0,0,7.760290062,104.962874,740.010722,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
50,2589,2,84,76430.83,0,12.43563329,14,0,1,0,0,1,1,0,0,0,0,1,0,0,1,11.56938439,92.488023,897.9716152999999,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
51,4901,2,62,4662.37,1,8.957166926000001,13,3,0,0,1,0,1,1,0,0,1,1,0,1,0,3.343811019,184.97968400000002,1026.387172,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0
52,39649,5,68,43820.85,1,8.015021713,12,1,0,0,1,0,1,0,0,0,1,0,1,1,1,7.338869531,187.656013,1234.244324,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
53,456,1,59,38391.55,0,4.210347704,8,0,0,0,0,0,1,0,0,0,1,0,1,0,1,5.486534225,149.96209299999998,727.3731845,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
54,94,0,31,44137.6,1,11.13960534,6,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1.55278221,169.944668,452.87215039999995,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0
55,315,0,51,14364.65,1,9.03738856,11,2,0,0,1,0,1,1,1,0,1,0,0,0,1,12.07970325,160.00128,1296.6745429999999,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1
56,4969,1,58,62359.91,0,10.91594785,11,1,1,0,0,0,1,0,0,0,1,0,1,0,0,13.98666226,129.96209299999998,1840.628269,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
57,46869,1,73,82634.86,1,8.387624096,11,0,1,0,0,0,1,0,0,1,0,0,0,0,1,9.563362997,114.950905,1324.330108,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
58,58431,1,33,15690.25,0,11.4487514,11,0,1,0,0,0,1,0,1,0,1,1,0,1,1,6.7329489460000005,142.515576,958.1397059000001,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
59,26182,1,58,14568.7,1,10.22013704,15,2,0,0,1,0,1,1,0,0,0,1,1,1,1,15.72071086,220.14775,1868.8640269999999,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
60,694,0,49,29207.46,0,8.425458142,9,1,0,0,0,0,1,0,0,0,1,0,0,0,1,7.233605493,124.97808,676.712908,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
61,3093,1,26,55319.23,0,8.386280618999999,12,1,0,0,0,1,1,0,1,1,0,1,0,1,1,2.8710170369999997,164.964681,1086.990308,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
62,2765,1,25,81831.49,0,9.565924291,10,3,0,0,1,0,1,1,0,0,1,1,1,0,0,2.3448753819999997,194.976769,704.7540406,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
63,3757,0,42,100076.65,1,10.79349982,14,3,0,0,1,0,1,0,1,1,0,0,0,1,1,7.960490246,152.45551899999998,1416.444695,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1
64,4938,1,81,69965.65,0,6.081975067,15,0,0,0,0,1,1,0,0,0,1,0,0,0,0,12.25062113,92.5018,1095.950634,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
65,3761,1,43,34883.69,0,13.55065547,13,0,0,1,0,1,1,0,0,0,1,0,0,1,1,9.634946079,127.48872800000001,1083.610268,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
66,1851,2,63,45634.2,0,9.470419821,14,1,0,0,1,0,1,1,0,1,1,0,1,0,0,7.916533093,184.963371,1570.641337,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
67,38476,3,70,10964.73,1,6.194985909,11,0,1,0,1,0,1,1,0,0,1,1,1,1,1,4.471254161,265.146969,1007.4255529999999,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
68,13547,1,78,22365.28,1,10.80393657,19,1,0,0,0,0,1,0,0,0,0,0,1,1,0,10.79028074,207.609354,1323.028419,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
69,7801,0,48,52636.6,0,7.903964267,17,0,1,0,1,1,1,1,1,0,0,0,1,0,0,12.24190682,152.462354,1808.730555,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
70,17823,1,63,19048.13,1,11.27443693,18,2,1,1,1,0,1,0,0,0,1,0,1,1,1,2.2038594430000003,200.132293,1120.2414720000002,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
71,20269,4,60,42784.82,1,6.1295093089999995,12,0,0,0,1,1,1,0,1,1,0,1,1,1,0,23.92132231,212.65568599999997,2676.789803,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
72,30225,0,87,77996.88,1,7.969277912000001,17,0,0,1,1,0,1,1,0,1,0,1,1,1,1,3.7311787000000005,255.11979399999998,1268.0869089999999,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0
73,5760,3,54,47507.3,0,4.368120492,9,0,0,0,1,0,1,0,0,1,0,0,0,0,1,7.980015371,134.950905,822.6771666,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
74,61,3,35,7724.73,1,6.258356397999999,9,0,1,0,1,0,1,0,0,1,1,1,1,1,1,9.190009376,255.137219,1577.915603,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
75,34359,1,70,1509.52,1,12.92303286,16,0,0,0,0,0,1,1,0,1,1,0,0,1,0,2.378630018,214.966286,648.7471776000001,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
76,24693,2,67,81124.71,1,12.43301273,13,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5.43464555,270.160419,1648.102673,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
77,4235,4,46,11795.57,1,7.607663559,11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1.092361222,200.165175,768.0874545,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
78,2193,1,50,74794.84,0,7.442789019,10,2,1,0,0,0,1,0,0,1,0,0,0,1,0,20.13981517,149.937833,2426.030626,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
79,273,1,24,19038.78,1,13.04429298,18,1,0,0,0,1,1,1,0,0,0,0,1,1,1,24.64873861,240.11486800000003,2660.503932,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
80,14557,0,20,79167.77,0,14.89762162,17,0,0,0,0,1,1,0,1,0,1,0,0,0,1,9.677739656,127.49576599999999,1129.549713,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
81,17653,1,29,37428.26,1,13.79387475,13,2,1,0,1,0,1,0,0,0,0,0,1,1,0,9.82814183,187.609354,1771.286466,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
82,285,0,31,45148.38,0,15.66367593,6,1,0,1,1,0,1,1,0,0,1,1,0,0,0,7.832238337000001,169.992756,943.3391244,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0
83,320,5,72,74855.47,0,8.513410306,13,3,0,0,1,0,1,1,0,0,0,1,0,1,0,19.45250317,192.45674499999998,1907.2260829999998,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
84,2863,4,71,45323.86,0,8.265002035,10,1,0,0,0,1,1,0,1,0,1,1,0,0,1,14.34766616,120.004928,1885.939118,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
85,1206,2,32,71596.14,0,8.6026551,11,0,0,0,1,0,1,1,1,1,1,1,0,0,0,2.257358355,195.006206,631.7435653,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
86,35279,0,33,10389.95,0,6.03993035,15,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2.358129018,139.95684,562.6095219,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
87,1049,3,67,19657.14,0,14.6040829,12,3,0,1,0,0,1,0,0,1,0,1,0,0,1,4.650578623,114.983787,593.8572264,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0
88,32203,0,66,27827.03,1,7.274007029,13,1,1,0,1,0,1,1,0,0,0,0,1,1,0,3.7217726160000004,207.638588,777.3060717999999,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
89,25576,4,21,15609.05,1,8.913898759,12,4,0,0,1,0,1,0,0,0,0,0,1,1,1,3.76663012,187.609354,1393.202392,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
90,319,0,61,19815.63,0,11.59313893,13,0,2,0,1,1,1,0,0,1,0,0,0,0,1,4.151256695,134.950905,393.6524652,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
91,55519,0,75,58482.9,1,8.294186076,13,0,0,0,0,0,1,1,0,0,1,0,0,1,1,2.188918771,192.470522,409.7486664,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
92,15210,0,63,41656.53,1,15.19664016,9,1,0,0,1,1,0,0,0,1,1,0,1,1,1,13.85488928,222.62805699999998,2138.107161,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
93,3499,0,68,115510.46,0,5.0839959939999995,3,1,0,0,1,0,1,0,1,0,0,1,0,1,1,3.2733411510000003,162.468917,443.98403099999996,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
94,14479,2,32,15841.19,1,6.942719201,7,1,1,0,1,0,1,1,0,1,1,0,0,0,0,19.75096265,159.97935800000002,2481.385603,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
95,4654,0,76,81127.41,0,9.834012571,7,1,0,0,0,1,1,1,0,0,1,1,0,1,1,18.38404445,184.97968400000002,2233.567181,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
96,26320,0,29,24270.88,1,11.0596826,13,0,0,0,0,0,1,0,1,1,1,0,1,1,1,4.672610857,245.145743,1158.91369,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
97,35,0,83,54466.33,0,8.834079073,17,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6.796299371,124.97808,529.40733,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
98,521,10,23,64816.84,1,5.271228601000001,14,1,1,0,0,0,1,0,1,1,1,1,1,0,0,12.97632235,187.484705,1956.7337,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
99,17600,5,80,103311.26,0,9.394961367,15,1,0,0,0,0,1,0,1,1,1,1,0,0,1,20.31163945,162.500692,2056.386979,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
100,3324,0,20,40211.04,0,14.475436499999999,11,1,1,0,0,0,1,1,0,0,1,0,1,0,1,6.998814446,182.46760700000002,1067.373076,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
101,55122,0,69,58077.38,1,10.68311773,12,1,1,0,0,0,0,0,0,1,1,1,1,1,1,14.46288204,222.660939,1806.1357329999998,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
102,4038,1,32,43466.35,0,13.79409442,10,1,0,0,0,0,1,1,0,0,1,0,1,0,1,11.13472066,182.46760700000002,1397.701335,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
103,31927,0,53,23289.77,1,12.40165307,19,1,0,0,0,1,1,1,0,0,1,0,1,1,1,2.542296644,220.161527,808.4305471,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
104,19904,2,25,49158.49,0,10.24782033,9,1,0,0,0,0,1,0,0,1,0,0,0,1,1,17.22596021,169.937833,1886.5319370000002,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
105,13000,0,69,3805.84,1,14.86100819,16,0,2,0,1,0,0,1,0,1,1,0,1,0,1,22.79214163,204.963371,2294.7811309999997,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
106,1444,3,71,52616.27,1,6.716953195,10,2,1,0,0,0,1,1,0,1,1,0,1,0,0,3.8236897439999997,204.963371,826.3438621,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
107,2158,3,53,30550.42,1,8.124258176,18,1,0,0,0,0,1,1,1,1,0,0,1,1,0,10.77094687,245.128318,2072.564168,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0
108,1800,2,56,12154.01,1,14.60903837,11,0,2,0,0,1,1,1,0,1,0,1,1,0,1,13.08671185,172.473314,1436.793746,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
109,30,0,42,30649.31,1,12.65015936,9,2,2,0,1,0,0,1,0,0,0,1,0,1,0,14.76468813,172.45674499999998,1963.3326829999999,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
110,3682,3,33,31417.33,1,12.0281501,14,0,0,0,0,0,1,1,0,0,1,1,1,0,1,9.473091121,194.976769,1324.164906,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
111,41733,1,47,55861.19,0,15.68043093,16,1,0,0,0,0,1,0,0,0,0,0,1,0,1,5.197446331,137.439154,704.9375603,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0
112,630,1,48,9044.26,1,11.30421466,18,3,1,0,1,1,1,1,0,0,1,0,0,1,1,6.5775526829999995,192.470522,888.6517305,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
113,15383,0,63,25381.66,1,10.26646787,10,1,0,0,1,0,1,0,0,0,0,1,0,1,0,3.1745719180000003,159.951231,377.0810282,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
114,257,1,40,65064.31,0,7.56618217,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17.88002366,112.455141,1606.489936,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0
