CaseOrder,Age,Email_Sent_To_Customer_Count,Is_Techie,Has_Multiple_Lines,Has_Online_Backup,Has_Device_Protection,Has_Streaming_TV,Avg_Bandwidth_GB_Usage_Per_Year,Churn
130,32,11,0,1,0,1,1,1244.296865,1
131,47,10,0,0,0,1,0,1162.332926,1
132,66,12,0,0,0,0,0,577.1157824000001,0
133,70,14,0,1,1,0,1,1442.9748769999999,1
134,41,10,0,1,0,1,1,1577.208717,1
135,59,8,0,0,0,0,0,886.9398743999999,0
136,46,12,0,1,1,1,0,1065.0644300000001,0
137,70,17,0,1,1,0,0,951.886985,0
138,89,12,0,1,1,1,1,1404.435534,0
139,75,10,0,1,0,1,1,1925.9117219999998,1
140,26,9,1,1,0,1,1,1805.0112980000001,1
141,25,8,0,1,0,1,0,700.7343179,0
142,84,14,0,1,1,0,1,513.237305,1
143,69,15,0,0,1,1,0,717.3876564,0
144,31,11,0,0,0,1,0,1313.492851,0
145,76,14,0,0,1,0,0,819.4195268999999,1
146,75,15,0,1,1,1,1,882.1160656,1
147,74,17,0,0,1,0,1,724.7803356000001,1
148,49,10,0,0,0,0,0,1829.270014,0
149,47,16,0,1,1,0,1,1668.1991189999999,1
150,20,17,0,0,1,0,0,1124.353152,1
151,26,10,0,1,0,0,0,1316.239744,1
152,72,8,0,0,0,0,1,1637.201426,0
153,41,13,1,0,1,0,1,951.8524405999999,0
154,26,12,0,1,1,0,0,1248.097652,1
155,55,12,0,1,1,1,0,2220.255405,0
156,46,11,0,0,0,0,1,1669.202417,0
157,87,13,1,0,0,0,1,990.0555075999999,1
158,39,9,1,0,1,0,1,967.9819136,0
159,81,12,0,1,0,1,1,2190.259876,1
160,83,13,0,0,1,1,0,1445.7527810000001,0
161,50,12,0,0,0,1,0,528.6553088000001,1
162,87,13,0,1,0,1,1,1296.481055,1
163,76,13,0,0,1,0,1,1195.3930369999998,0
164,25,13,1,0,0,1,1,1700.121992,1
165,34,14,0,0,0,1,1,2120.673828,1
166,46,11,0,0,0,0,0,1238.421347,0
167,73,7,0,0,0,0,1,847.110799,0
168,57,12,0,0,0,0,0,1112.9371019999999,1
169,58,14,0,1,0,0,0,1623.045026,0
170,70,12,0,0,0,1,1,1479.7301810000001,1
171,53,7,0,1,0,1,1,2144.7350239999996,1
172,31,11,0,0,0,1,0,1522.2895119999998,1
173,38,10,0,1,0,0,1,1974.7800539999998,0
174,26,11,0,1,1,0,1,1261.177198,1
175,44,14,0,0,1,1,0,939.7181324,0
176,66,11,1,0,0,1,1,1357.062854,1
177,58,15,0,0,0,0,1,1456.887443,0
178,51,11,0,0,0,0,1,937.5863866000001,1
179,34,14,0,1,1,1,0,830.1193011,0
180,87,14,0,0,1,1,1,737.8564607999999,0
181,67,9,0,1,0,0,1,1781.8548620000001,1
182,59,12,0,1,0,0,1,2464.5774890000002,1
183,23,10,0,0,1,1,0,2392.203409,0
184,42,12,0,1,0,0,1,1664.19271,1
185,24,11,0,1,1,1,0,1433.616898,1
186,81,10,0,1,1,0,0,823.4933242999999,0
187,78,14,0,0,0,1,0,1468.3574210000002,0
188,51,8,0,0,1,1,0,590.7765801,1
189,70,12,0,0,0,0,0,418.62068849999997,0
190,87,13,0,0,0,1,0,1181.9918460000001,0
191,46,14,0,0,0,0,1,733.4036934,0
192,56,14,0,0,0,1,1,1719.173387,1
193,44,11,1,0,1,0,0,1205.956363,1
194,33,9,0,0,1,0,1,1261.0327630000002,0
195,19,14,0,1,1,0,0,741.7766988,1
196,31,12,0,0,0,0,1,932.6084358999999,1
197,34,9,0,0,1,0,0,1708.614019,0
198,43,11,0,0,0,1,0,1363.5860300000002,0
199,82,5,0,0,0,0,1,472.10570189999993,0
200,36,13,0,0,1,0,0,558.2340556,0
201,48,17,0,1,0,1,1,815.194738,1
202,52,11,0,1,1,1,0,2007.3036170000003,1
203,35,16,0,1,1,0,1,2088.48083,1
204,83,15,0,0,1,0,1,1430.761492,0
205,20,14,0,0,1,0,1,822.3008694,0
206,25,13,0,1,0,0,1,2059.2009980000003,1
207,88,18,0,0,1,1,1,617.542543,0
208,54,8,0,1,0,0,1,758.4775985,0
209,46,12,0,1,0,1,0,894.6733856000001,1
210,75,14,0,0,0,0,1,1639.898269,0
211,66,11,0,0,0,0,1,710.7541633,0
212,51,12,1,1,1,0,1,1092.226042,0
213,81,12,0,1,1,0,0,757.0097075,0
214,75,18,0,0,1,1,1,2301.8507210000002,0
215,54,8,0,1,0,1,1,2401.406545,1
216,73,10,0,0,0,0,1,1535.788894,0
217,53,12,0,1,0,0,0,1536.589816,0
218,33,14,0,0,0,1,1,2153.778421,0
219,41,13,0,1,0,0,0,2409.195918,0
220,59,11,1,1,1,1,1,1342.862457,0
221,23,14,0,1,0,0,0,1046.054674,1
222,32,13,0,0,1,1,1,1204.479468,1
223,51,10,0,1,0,1,1,1616.908193,1
224,46,11,0,0,1,0,0,345.0099528,0
225,37,9,0,1,0,0,0,1427.088655,1
226,53,8,0,1,0,0,0,1452.334634,0
227,62,15,0,1,0,0,0,795.4957357999999,1
228,57,13,0,0,1,1,0,1333.894229,0
229,80,10,0,1,0,1,1,1402.20491,1
230,43,12,0,1,1,1,0,1447.196935,1
231,35,10,1,1,1,1,1,1662.510936,1
232,63,11,0,0,0,0,0,1707.641161,0
233,63,15,0,1,0,0,1,2181.752793,1
234,27,11,0,1,0,1,0,1575.683555,0
235,19,14,0,0,0,0,0,1029.489242,0
236,40,12,1,0,1,1,1,2370.184448,0
237,42,8,0,1,1,1,1,3309.919373,1
238,40,16,0,1,1,1,0,1623.273925,1
239,72,12,1,1,1,0,0,1146.1999210000001,0
240,61,10,1,1,0,1,1,2229.268031,1
241,71,11,0,0,0,0,1,2512.36494,0
242,68,7,0,0,1,0,0,1297.388488,0
243,88,17,0,1,0,0,0,283.39178,0
244,64,11,1,1,0,0,1,1947.7853,1
245,63,10,0,0,0,0,1,849.1972541000001,1
246,53,12,0,1,1,1,0,2131.3598269999998,0
247,41,14,1,0,0,0,1,1464.035068,0
248,63,13,0,1,1,0,0,1381.538548,0
249,56,14,0,1,1,0,0,1248.626874,0
250,27,6,1,0,0,0,0,558.3751762,0
251,47,18,0,1,0,1,1,676.2178659,0
252,42,14,0,1,1,1,0,1641.9386960000002,0
253,72,14,0,0,1,1,1,1811.964373,1
254,58,9,0,1,1,0,0,1066.6325550000001,1
255,33,12,0,0,0,1,1,1514.131966,1
256,87,8,0,0,0,1,1,1189.549671,1
257,34,11,0,0,1,0,0,1114.020282,0
258,76,11,0,0,1,1,0,1078.291303,0
259,38,21,1,0,1,1,0,854.2977548,0
260,47,12,0,1,0,0,1,1489.077486,1
261,84,8,0,0,1,1,1,1649.312808,1
262,19,20,0,1,1,0,0,905.1959227,1
263,87,16,0,1,0,0,0,684.6318529,0
264,75,5,0,1,0,1,1,1662.533055,0
265,37,14,0,0,1,1,1,2436.57146,1
266,52,12,0,1,1,1,1,2677.7404100000003,1
267,24,14,0,1,1,1,1,1779.309609,1
268,83,19,0,0,0,0,1,1494.7164089999999,1
269,19,19,0,1,0,0,1,1740.7260399999998,1
270,78,13,0,1,1,1,0,704.7552668999999,1
271,61,15,0,1,0,0,0,558.4710882999999,0
272,38,15,0,0,0,0,1,1282.279049,1
273,79,11,0,1,0,0,0,287.8189836,1
274,49,8,0,1,1,0,0,1129.529441,0
275,41,10,0,1,0,1,0,394.0148722,0
276,75,9,0,1,0,0,1,1302.230824,0
277,60,13,0,0,0,0,1,970.4682918999999,0
278,70,13,0,0,0,1,1,2522.88913,0
279,23,9,0,0,1,0,0,682.9871863,1
280,84,8,1,1,0,1,1,1537.109931,1
281,63,13,0,0,0,0,1,1961.923965,1
282,88,16,0,0,0,0,1,676.1747964,0
283,44,18,0,1,0,0,1,929.2607767000001,1
284,49,17,1,0,0,0,1,1849.484087,1
285,32,14,1,1,1,0,1,1998.680227,1
286,69,8,0,1,0,0,0,1898.877878,0
287,60,16,0,1,0,0,0,992.3501481000001,1
288,57,11,1,0,0,1,0,994.6354785,0
289,62,14,0,0,1,0,1,954.0290712000001,1
290,26,11,0,0,0,0,1,1775.8381530000001,0
291,85,10,0,1,1,1,0,1297.050577,1
292,82,18,0,1,1,0,0,1746.405243,0
293,40,11,0,1,1,0,0,1698.4658329999997,0
294,50,10,0,1,0,1,0,665.4740915,1
295,71,10,0,1,1,1,0,1886.153328,1
296,48,14,0,1,0,1,0,958.6989907999999,0
297,24,10,0,1,0,0,0,1446.203986,0
298,79,11,0,0,0,1,0,774.6125757,0
299,82,12,0,0,1,1,1,1939.811149,0
300,68,8,1,0,0,1,1,1165.564309,1
301,77,10,0,1,1,0,0,750.8768234,0
302,19,14,1,0,0,1,0,1292.3206,0
303,80,15,1,1,1,1,1,2335.130986,1
304,31,13,0,1,1,0,0,769.8534863,1
305,62,10,0,0,0,1,0,1729.837284,0
306,80,16,0,1,0,0,1,649.3891796,1
307,36,16,0,0,0,0,1,823.0046464,0
308,72,12,0,0,1,1,0,1107.8820560000001,0
309,50,11,0,0,0,1,0,683.8622598999999,0
310,31,17,0,0,0,1,1,1301.49424,0
311,22,15,0,0,1,1,0,1079.0125050000001,0
312,50,11,1,1,1,0,0,1283.4639949999998,1
313,28,11,0,0,0,1,0,987.6536550000001,0
314,63,8,0,0,0,1,0,1088.263081,0
315,73,11,0,0,0,0,0,583.0259559,0
316,72,16,0,0,0,1,0,1778.733282,0
317,23,8,0,1,0,1,0,900.4043765,1
318,49,10,0,0,0,0,1,1693.5760989999999,1
319,82,14,1,0,1,0,1,1143.826239,1
320,72,9,0,1,0,0,1,886.3400740000001,0
321,45,11,0,0,0,0,0,373.2772664,0
322,73,13,0,0,1,0,0,1245.328696,0
323,78,7,0,1,0,1,1,1564.936841,1
324,71,11,0,0,0,1,1,1354.401018,0
325,67,11,0,0,0,0,1,1971.429689,1
326,43,11,1,0,0,0,0,623.7865682999999,0
327,27,12,1,1,0,0,1,3040.553763,1
328,39,13,0,0,0,1,0,864.7036995,1
329,52,13,0,1,1,0,0,2042.113893,0
330,19,8,0,1,0,1,1,1973.661316,1
331,48,12,0,0,0,1,1,1755.645123,1
332,22,10,0,1,1,0,1,1758.7356539999998,1
333,69,13,1,1,0,0,1,557.0118807,1
334,31,15,0,0,0,0,1,2205.334092,0
335,79,11,0,1,0,0,0,1451.201108,0
336,65,11,1,0,1,1,0,609.0598401000001,0
337,49,10,0,1,0,0,0,1221.100604,1
338,69,10,1,1,0,0,1,745.0493094,1
339,74,9,0,0,0,1,0,1220.452161,0
340,27,10,0,1,1,0,0,1771.472597,1
341,79,13,0,0,1,1,1,1201.484293,1
342,41,14,0,0,0,1,0,764.3017535,0
343,51,14,1,0,1,0,0,1022.4156220000001,0
344,57,14,0,1,1,1,0,1284.442486,1
345,66,13,0,0,1,0,0,289.92402910000004,0
346,85,9,0,1,0,1,1,1718.6001629999998,1
347,54,14,0,0,1,0,1,2494.633068,0
348,79,11,0,0,0,1,1,2270.749222,1
349,56,10,0,1,0,0,1,567.6177123,1
350,80,10,0,0,1,0,0,380.0501404,1
351,37,12,0,0,0,1,1,1436.408211,1
352,24,11,0,1,1,0,0,1852.503069,0
353,48,15,0,1,0,0,0,1312.008382,0
354,68,15,0,0,0,1,1,863.0820861,1
355,74,13,0,0,1,1,1,1854.7933030000002,1
356,37,17,0,0,1,0,0,1778.4317649999998,0
357,54,10,0,0,1,0,0,764.2419259,1
358,84,10,0,0,0,0,0,307.018806,0
359,68,12,0,1,0,0,0,1179.782483,1
360,39,7,0,0,0,0,1,1040.034575,0
361,85,14,0,1,0,0,1,1080.159892,0
362,86,13,0,0,0,0,1,775.5613336,1
363,70,19,0,1,0,0,1,1061.5879710000002,0
364,33,13,0,0,0,1,0,1334.403775,1
365,58,13,0,1,0,0,0,2346.143947,0
366,58,12,0,0,1,0,0,1491.768656,0
367,42,9,1,1,0,0,0,927.1279645999999,1
368,89,10,0,0,0,1,0,686.9354616,0
369,63,12,0,0,0,1,1,1460.513443,0
370,18,13,0,0,1,0,1,1942.250203,1
371,82,10,0,1,0,1,1,1923.549943,0
372,61,10,0,1,1,1,0,1239.802036,0
373,36,14,0,0,1,0,1,2499.186161,0
374,87,18,0,0,0,0,1,302.38482089999997,0
375,48,10,0,0,0,1,0,1865.48625,1
376,56,13,0,1,0,1,1,908.7910203,1
377,57,12,0,1,0,1,0,790.9469892999999,0
378,89,12,0,1,0,0,0,956.2636974999999,1
379,30,11,0,0,0,0,0,639.3261342999999,0
380,54,13,0,0,1,0,1,1572.045646,1
381,55,9,1,0,1,1,0,3099.9222440000003,0
382,46,10,1,1,0,0,0,1599.727567,1
383,18,13,0,0,1,1,1,2188.672399,0
384,58,14,0,0,1,0,0,1586.699491,0
385,60,12,0,0,1,1,1,1828.2790149999998,1
386,62,7,1,0,0,0,0,1866.966586,0
387,30,14,0,1,0,0,1,1718.5552030000001,0
388,75,16,0,1,1,0,0,556.2193844,1
389,23,17,0,1,1,1,0,1035.1830380000001,1
390,84,11,0,0,1,0,0,1580.43019,1
391,61,6,0,0,0,1,0,703.6927423,1
392,75,11,0,1,1,0,1,1842.258692,1
393,72,7,0,0,0,1,1,1167.271182,1
394,66,10,0,1,1,1,1,1007.2897859999999,1
395,81,11,0,0,0,1,1,1500.69101,1
396,34,12,0,0,0,0,0,1404.7733970000002,0
397,82,9,0,1,0,1,1,1342.310858,1
398,73,17,1,0,1,1,1,1250.94478,0
399,28,17,0,1,1,0,1,1710.958869,1
400,48,5,0,0,0,0,0,169.39927980000002,0
401,53,13,0,0,0,0,1,1261.5545650000001,1
402,52,13,1,0,0,0,0,794.9581116,1
403,20,13,0,0,1,1,0,713.364269,0
404,19,11,0,0,1,0,1,952.5914921,1
405,70,14,1,0,0,0,0,778.6094502999999,0
406,48,13,0,1,0,1,0,627.0001275000001,0
407,28,13,0,0,0,0,0,2938.319116,0
408,52,8,0,0,1,0,1,1566.001524,0
409,77,16,0,0,1,1,1,1889.642423,0
410,71,15,0,1,0,1,1,1420.771651,0
411,22,16,0,1,0,1,0,1254.7256929999999,1
412,88,17,0,1,1,1,0,1570.345219,1
413,25,13,1,0,0,0,0,500.4406927,0
414,21,6,1,1,1,0,1,1563.848623,0
415,39,17,0,0,1,0,1,787.0962355,0
416,29,13,0,0,0,1,1,1119.610001,0
417,22,12,0,0,1,0,0,1155.7824679999999,0
418,44,11,0,1,0,0,0,1995.346628,0
419,74,12,0,1,0,1,0,922.1362065999999,0
420,84,9,0,0,1,0,0,717.6823944,0
421,65,10,1,0,1,1,1,2223.835601,0
422,29,13,0,0,1,1,0,1143.685617,0
423,51,16,1,0,0,1,1,1537.296207,1
424,40,13,0,0,1,1,0,1614.5443619999999,1
425,49,8,0,0,0,1,0,758.8338668,0
426,61,20,0,0,1,0,1,1317.766231,1
427,61,7,0,0,1,1,0,1189.578203,0
428,85,12,0,0,0,1,0,1467.273158,0
429,25,16,0,0,0,1,1,2192.693797,0
430,48,13,0,0,0,1,0,1568.47416,0
431,86,11,0,0,0,0,0,1376.095043,0
432,53,13,0,0,1,1,0,811.5600648,1
433,88,18,0,0,1,0,0,243.2617759,0
434,40,17,0,1,1,1,0,676.6465413999999,1
435,23,11,0,1,0,1,0,801.4709594999999,1
436,63,11,1,0,0,1,1,1316.145864,1
437,28,8,0,0,0,1,0,1270.217581,0
438,26,16,0,1,1,1,1,1339.709597,1
439,22,11,0,1,0,0,1,1624.7993490000001,0
440,43,10,0,1,0,1,0,1400.834009,0
441,70,19,0,0,1,1,1,1149.1081550000001,1
442,48,16,0,1,0,0,0,1387.0160039999998,0
443,29,10,1,1,0,1,1,544.12326,1
444,61,15,0,1,1,1,1,1803.9175710000002,1
445,73,14,0,0,1,0,0,1518.7479449999998,0
446,27,11,0,0,1,1,0,1932.20577,1
447,56,8,0,1,0,0,1,1886.3122859999999,1
448,19,12,0,1,0,0,0,1738.7190100000003,0
449,56,12,0,0,0,0,0,1060.026737,1
450,83,15,0,1,0,1,0,250.92700469999997,0
451,84,15,0,1,0,1,0,1916.832871,0
452,62,16,0,1,1,1,0,573.9920618,0
453,67,14,0,0,1,0,0,272.98230950000004,0
454,21,12,0,1,1,0,1,1233.9757710000001,0
455,31,10,0,1,1,0,1,1552.772876,0
456,25,12,0,0,1,1,1,1259.7352939999998,1
457,60,12,0,0,0,0,1,1287.821218,1
458,84,13,0,0,0,1,0,1516.6674380000002,0
459,36,10,0,1,0,0,0,589.9932647,0
460,87,14,0,1,1,0,0,1021.482609,0
461,80,12,0,1,0,0,1,1267.634616,1
462,34,9,0,0,0,0,0,1266.503765,0
463,39,6,1,1,0,0,1,1877.8527170000002,1
464,42,17,0,0,0,1,0,1541.134986,0
465,36,10,1,1,0,0,1,744.2470872,0
466,18,10,0,1,0,0,1,2023.519366,1
467,66,9,0,1,0,0,0,1428.427469,0
468,20,15,0,0,0,0,1,1283.253595,1
469,73,16,0,0,0,1,1,2256.776479,0
470,83,11,0,0,1,0,1,955.0876357000001,0
471,67,13,0,1,1,0,1,499.71706550000005,1
472,62,10,0,0,1,0,1,1562.32774,1
473,34,15,0,0,0,1,1,776.4780764999999,0
474,28,10,0,0,0,1,0,1118.646915,0
475,26,15,0,0,1,1,1,1781.692875,1
476,82,13,0,0,0,1,1,1086.92093,1
477,59,13,0,0,1,1,1,1551.398147,0
478,46,12,0,0,0,1,0,573.751474,0
479,44,16,0,0,1,1,1,1794.1168480000001,1
480,56,11,0,0,1,0,1,1103.594576,0
481,32,11,1,0,1,1,0,3143.245184,0
482,50,11,0,1,0,1,1,1381.802291,1
483,53,11,0,0,1,1,1,1091.10126,0
484,84,10,0,1,0,1,0,891.9472856000001,0
485,33,13,0,1,1,0,0,538.1168657000001,1
486,29,14,0,0,0,1,0,497.90426950000005,0
487,87,16,1,1,1,1,1,1115.476658,1
488,34,4,0,1,1,0,0,522.7315686000001,1
489,34,12,0,0,0,1,1,961.5888385,0
490,28,16,1,1,0,0,1,883.9008134,1
491,68,13,0,0,0,1,0,565.3167155,1
492,26,14,1,1,1,0,1,2062.605873,1
493,61,14,0,0,1,0,0,1197.080651,0
494,79,12,0,0,1,0,1,1972.725118,0
495,49,8,0,1,0,1,1,1427.3215380000001,0
496,85,11,0,0,0,1,1,1218.1244869999998,1
497,25,16,0,1,0,1,1,1874.789062,1
498,19,11,0,0,1,0,1,1806.007164,1
499,28,15,0,0,0,0,0,1939.600904,0
500,86,15,0,0,1,0,1,2275.888923,1
501,54,13,0,0,0,0,0,1372.385193,0
502,28,16,1,0,1,1,0,785.6266383,1
503,25,14,1,0,1,0,0,1226.343895,0
504,81,10,0,0,1,1,1,1047.361909,1
505,89,15,0,0,1,1,0,893.5446642,1
506,62,14,0,1,1,0,1,1210.047397,1
507,31,10,0,0,1,0,1,2329.912456,0
508,48,10,0,0,0,0,0,1163.4075050000001,0
509,22,7,0,1,1,1,0,736.9303356,1
510,22,11,0,1,0,0,0,1134.880009,0
511,20,10,0,0,0,1,0,1561.294194,0
512,58,14,0,0,0,0,0,1216.325478,0
513,81,13,0,0,1,1,1,1192.502878,1
514,26,13,1,1,0,0,1,2140.402985,1
515,89,10,0,1,0,0,1,867.2394016000001,1
516,59,15,1,0,0,0,1,1581.016214,1
517,75,16,0,0,1,1,1,724.6774743,1
518,35,11,0,0,1,0,0,1123.971139,0
519,28,10,0,1,1,0,0,2633.809472,0
520,48,10,0,0,0,1,1,967.7426094000001,1
521,29,13,0,0,0,1,0,2101.3440739999996,0
522,62,13,0,0,1,0,0,862.3199149000001,1
523,43,10,0,1,0,0,0,921.1401066,0
524,66,13,0,1,0,1,0,752.1641496,0
525,56,12,0,0,0,1,0,522.7806578,1
526,73,10,0,0,0,0,0,736.161108,1
527,21,17,0,0,0,0,1,2148.889242,1
528,48,10,0,0,1,1,1,1304.999684,1
529,82,9,0,0,1,0,0,292.47317369999996,0
530,22,17,1,1,0,1,1,655.3814577,1
531,34,11,0,1,0,0,1,660.0908172999999,0
532,56,16,0,1,0,0,0,1655.780173,0
533,25,9,0,0,0,0,1,1090.76661,1
534,44,14,0,1,0,1,1,1136.118286,0
535,59,8,0,1,1,0,0,673.2665835,0
536,63,9,1,0,0,1,0,831.1303039,0
537,76,10,0,1,1,0,1,729.541703,1
538,41,13,0,1,1,0,0,1163.701618,0
539,25,15,0,0,0,0,0,1720.1671820000001,0
540,40,11,0,0,0,0,1,626.5880936000001,0
541,77,15,0,1,0,0,0,369.7619068,0
542,20,8,0,1,1,0,0,1197.180331,0
543,53,7,1,1,0,0,1,1164.240281,1
544,36,11,0,1,0,1,1,1651.4241769999999,1
545,86,11,0,1,0,1,1,1489.301457,1
546,59,10,0,1,0,0,0,775.0343206,0
547,26,16,0,1,1,1,0,1808.311421,1
548,61,9,0,0,0,1,1,1942.4522129999998,0
549,27,7,0,1,1,0,0,2847.700412,1
550,53,10,0,1,1,0,0,908.4356313999999,1
551,32,14,0,1,0,1,0,973.4512832999999,1
552,60,12,0,0,1,1,0,1097.7031550000002,0
553,25,6,0,0,1,0,1,2936.746847,1
554,52,10,0,0,0,0,1,1883.962411,1
555,32,14,0,0,1,0,0,1808.501398,0
556,88,15,1,0,0,1,0,844.8711719,0
557,59,8,1,0,0,0,1,1215.114995,0
558,54,13,0,0,1,0,0,382.5347203,1
