,Is_Techie,Has_Phone_Service,Has_Multiple_Lines,Has_Online_Backup,Has_Device_Protection,Has_Streaming_TV,Has_Streaming_Movies,Gender_Female,Gender_Male,Gender_Prefer not to answer,Contract_Term_Month-to-month,Contract_Term_One year,Contract_Term_Two Year,Internet_Service_Type_DSL,Internet_Service_Type_Fiber Optic,Internet_Service_Type_None,Payment_Method_Type_Bank Transfer(automatic),Payment_Method_Type_Credit Card (automatic),Payment_Method_Type_Electronic Check,Payment_Method_Type_Mailed Check,Churn,Population_Within_A_Mile,Children_Count,Age,Income,Outage_Seconds_Per_Week,Email_Sent_To_Customer_Count,Technical_Support_Contacted_Count,Yearly_Equip_Failure_Count,Tenure,Avg_Monthly_Charge,Avg_Bandwidth_GB_Usage_Per_Year,Timely_Response_Survey_Item,Timely_Fixes_Survey_Item,Timely_Replacements_Survey_Item,Reliability_Survey_Item,Options_Survey_Item,Respectful_Response_Survey_Item,Courteous_Exchange_Survey_Item,Evidence_Of_Active_Listening_Survey_Item
20,0.0,1.0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,69,4.0,53.0,39624.21,12.18669792,14,0,3,20.45390977,185.096264,2330.319383,2,3,3,2,4,2,3,3
21,0.0,1.0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,14440,3.0,30.0,33186.785,6.520830557999999,18,1,0,2.415991977,127.03177659999999,594.1054279,5,5,4,4,3,4,3,5
22,0.0,1.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,381,1.0,52.0,27442.03,9.970974396,16,1,1,6.652298992,125.56230179999999,713.0633088,3,3,3,2,2,3,5,5
23,0.0,1.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2193,2.0,68.0,79699.62,7.490198816,9,0,0,8.543717478,150.3295122,945.3802927999999,4,4,3,5,3,4,4,3
24,0.0,1.0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,9434,3.0,75.0,28520.32,14.54825704,15,1,0,5.770390256000001,163.31240549999998,870.7639800000001,3,3,4,2,4,4,3,4
25,0.0,1.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,29568,1.0,77.0,12558.83,11.37952059,12,1,0,4.157658837,94.06699355,774.2937069,4,4,4,4,2,4,5,5
26,0.0,1.0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,3089,1.0,47.0,8762.23,16.1723942,15,0,1,10.40566091,222.9597637,1506.446527,5,3,5,3,3,5,4,4
27,0.0,1.0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,5652,1.0,70.0,43882.72,15.8467065,12,0,0,1.3924215969999998,141.092117,419.0508708,2,2,3,4,4,2,2,2
28,1.0,1.0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1716,3.0,53.0,33186.785,43.92705189,13,2,0,36.19603,230.62376459999996,1259.415493,3,4,3,3,2,4,4,2
29,0.0,1.0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,52484,4.0,69.0,33186.785,12.35437248,18,1,0,5.425864884,259.3879183,1745.1259559999999,4,4,4,3,2,5,5,4
30,0.0,0.0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,11268,9.0,45.0,43383.54,7.472844182,14,0,0,11.08287797,230.9648914,1795.465729,3,2,1,5,3,3,3,2
31,0.0,1.0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1765,1.0,40.0,21793.88,4.776157747,13,2,0,36.19603,147.8152871,492.4771472,2,3,4,3,3,2,4,3
32,0.0,1.0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,680,6.0,82.0,51960.51,8.913416857,9,0,0,4.727388465,230.2438882,1013.993166,4,4,4,5,2,5,3,5
33,0.0,1.0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,136,5.0,53.0,33186.785,11.99819427,8,1,1,20.89923386,175.8247451,3382.4240000000004,5,5,4,3,5,3,4,1
34,0.0,1.0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1517,1.0,53.0,11211.59,5.312361826,15,1,0,3.471329958,267.4362279,1081.8143619999998,6,5,5,5,2,6,5,5
35,0.0,1.0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,14103,1.0,52.0,8283.29,13.92937482,11,0,1,5.478588203999999,162.6090148,1209.961168,4,2,3,4,3,3,4,3
36,0.0,1.0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,6394,2.0,26.0,10114.81,44.72520233,16,1,1,3.3129918089999997,258.40816540000003,897.5919144,4,3,5,5,2,4,5,5
37,0.0,1.0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,5059,1.0,25.0,33186.785,8.15350077,9,2,0,7.161561527000001,138.7077155,1340.9301560000001,5,6,4,2,5,3,3,3
38,0.0,1.0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,20450,1.0,66.0,25397.44,17.68357553,12,1,0,9.847563363999999,185.80724809999998,1113.993679,4,4,3,4,2,4,4,5
39,0.0,1.0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,2123,1.0,72.0,50336.5,7.790281114,10,1,1,16.04202196,147.29118789999998,1530.10769,3,4,3,6,4,4,6,2
40,0.0,1.0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1164,3.0,53.0,38211.37,38.90533531,12,1,0,9.179779682000001,199.93412619999998,3382.4240000000004,5,2,3,3,3,5,4,4
41,0.0,1.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,23,3.0,53.0,52887.26,6.522328696000001,16,2,0,36.19603,105.9429467,892.8964931,3,3,2,3,5,4,3,3
42,0.0,1.0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,895,4.0,41.0,12003.33,11.1979215,11,1,2,3.924254455,253.7918326,1125.581944,3,3,3,5,1,4,3,4
43,0.0,1.0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,6699,4.0,53.0,24090.62,8.561096928,13,0,0,18.55959629,192.76227680000002,2016.7100309999998,3,3,3,3,4,3,3,4
44,0.0,1.0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,35743,0.0,53.0,33186.785,13.89466275,6,0,0,8.798394712,243.3707028,1412.736809,4,4,4,4,3,4,3,4
45,0.0,1.0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,320,2.0,44.0,33186.785,10.87564115,5,1,0,10.377366,245.4671211,3382.4240000000004,3,3,2,2,4,3,5,2
46,0.0,1.0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,7870,1.0,23.0,132116.33,12.60910718,11,1,0,22.25746016,185.07194040000002,2384.885909,4,4,5,2,2,4,3,3
47,0.0,1.0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,861,1.0,43.0,37358.13,9.315148629,11,1,0,9.427146079,194.57131569999999,1213.940165,4,5,3,4,3,3,4,3
48,0.0,1.0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,15364,1.0,86.0,26534.16,8.561161123,11,2,2,7.760290062,105.6553743,740.010722,3,4,3,2,3,3,3,3
49,0.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2589,2.0,84.0,33186.785,12.37711977,14,0,1,11.56938439,92.42950948,897.9716152999999,3,3,4,3,5,3,3,4
50,0.0,1.0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,4901,2.0,53.0,33186.785,9.523347957,13,3,0,3.343811019,185.545865,1026.387172,2,2,3,4,3,5,2,4
51,0.0,1.0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,39649,5.0,68.0,43820.85,8.546827521,12,1,0,7.338869531,188.1878188,1234.244324,2,3,3,5,4,2,3,2
52,0.0,1.0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,456,1.0,59.0,38391.55,2.663660525,8,0,0,5.486534225,148.41540580000003,727.3731845,4,4,4,3,4,2,5,4
53,1.0,1.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,94,0.0,31.0,44137.6,8.505759564,6,0,0,1.55278221,167.3108222,452.87215039999995,4,4,3,4,4,4,2,3
54,0.0,1.0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,315,0.0,51.0,33186.785,7.93962081,11,2,0,12.07970325,158.9035122,1296.6745429999999,4,2,4,5,4,3,3,4
55,0.0,1.0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,4969,1.0,58.0,62359.91,12.13605498,11,1,1,13.98666226,131.1822001,1840.628269,3,4,3,6,3,4,5,3
56,0.0,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,46869,1.0,73.0,82634.86,9.531952076,11,0,1,9.563362997,116.09523300000001,1324.330108,5,4,3,5,3,3,5,4
57,0.0,1.0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,58431,1.0,33.0,15690.25,11.31019855,11,0,1,6.7329489460000005,142.3770231,958.1397059000001,4,5,5,5,4,4,4,5
58,0.0,1.0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,26182,1.0,53.0,14568.7,11.23344836,15,2,0,15.72071086,221.1610613,3382.4240000000004,3,5,3,2,4,5,5,4
59,0.0,1.0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,694,0.0,49.0,33186.785,9.276154842,9,1,0,7.233605493,125.8287767,676.712908,5,5,3,4,4,5,5,4
60,0.0,1.0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,3093,1.0,26.0,55319.23,7.273891516,12,1,0,2.8710170369999997,163.8522919,1086.990308,5,5,4,4,3,4,4,4
61,0.0,1.0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2765,1.0,25.0,81831.49,39.88390274,10,3,0,2.3448753819999997,225.2947474,704.7540406,3,4,3,2,3,4,2,4
62,0.0,1.0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,3757,0.0,42.0,100076.65,8.599583947000001,14,3,0,7.960490246,150.2616031,1416.444695,5,5,5,4,3,2,4,4
63,0.0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,4938,1.0,81.0,69965.65,5.487498047000001,15,0,0,12.25062113,91.90732298,1095.950634,5,5,5,3,4,3,2,5
64,1.0,1.0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,3761,1.0,43.0,34883.69,14.22358433,13,0,0,36.19603,128.16165690000003,1083.610268,4,4,4,3,4,4,3,3
65,0.0,1.0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1851,2.0,53.0,33186.785,9.701727666,14,1,0,7.916533093,185.19467880000002,1570.641337,3,4,3,3,4,4,4,3
66,0.0,1.0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,38476,3.0,70.0,10964.73,7.029314672999999,11,0,1,4.471254161,265.9812978,1007.4255529999999,3,3,2,4,4,3,3,3
67,0.0,1.0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,13547,1.0,53.0,33186.785,10.76672425,19,1,0,10.79028074,207.5721417,1323.028419,4,4,3,6,2,5,7,4
68,0.0,1.0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,7801,0.0,48.0,52636.6,7.802308088999999,17,0,1,12.24190682,152.36069780000003,1808.730555,3,1,2,2,5,2,2,1
69,0.0,1.0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,17823,1.0,63.0,19048.13,9.793779623999999,18,2,1,2.2038594430000003,198.65163569999999,1120.2414720000002,4,4,4,5,4,4,4,3
70,0.0,1.0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,20269,4.0,60.0,42784.82,5.824350345,12,0,0,23.92132231,212.350527,2676.789803,5,5,6,5,3,7,5,5
71,1.0,1.0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,30225,0.0,87.0,77996.88,7.013094992999999,17,0,0,3.7311787000000005,254.1636111,1268.0869089999999,3,3,4,5,4,3,5,4
72,0.0,1.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,5760,3.0,54.0,47507.3,32.03094504,9,0,0,36.19603,162.6137295,822.6771666,2,3,3,3,5,2,2,3
73,0.0,1.0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,61,3.0,53.0,7724.73,7.700593432000001,9,0,1,36.19603,256.579456,3382.4240000000004,4,3,2,3,3,3,3,4
74,0.0,1.0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,34359,1.0,70.0,1509.52,12.05902236,16,0,0,2.378630018,214.1022755,3382.4240000000004,4,4,4,5,2,3,4,4
75,0.0,1.0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,24693,2.0,67.0,81124.71,13.64707199,13,0,0,5.43464555,271.3744783,1648.102673,3,3,4,3,5,3,3,4
76,0.0,1.0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,4235,4.0,46.0,11795.57,9.033079232999999,11,0,0,1.092361222,201.59059069999998,768.0874545,1,1,2,2,3,1,3,2
77,0.0,1.0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,2193,1.0,53.0,33186.785,6.7963360779999995,10,2,1,20.13981517,149.2913801,2426.030626,2,2,3,4,3,3,4,4
78,0.0,1.0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,273,1.0,24.0,19038.78,13.69012091,18,1,0,24.64873861,240.76069590000003,3382.4240000000004,4,4,5,1,4,4,3,3
79,0.0,1.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,14557,0.0,20.0,79167.77,13.64419363,17,0,0,9.677739656,126.24233799999999,1129.549713,3,4,3,4,5,4,3,3
80,0.0,1.0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,17653,1.0,53.0,37428.26,14.85470353,13,2,1,9.82814183,188.67018280000002,1771.286466,3,4,3,2,5,3,3,4
81,0.0,1.0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,285,1.0,53.0,45148.38,17.35455406,6,1,0,7.832238337000001,171.6836341,943.3391244,3,3,3,4,4,3,4,4
82,0.0,1.0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,320,5.0,53.0,74855.47,7.117737737000001,13,3,0,19.45250317,191.06107240000003,1907.2260829999998,4,4,4,3,1,5,4,4
83,0.0,1.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,2863,4.0,71.0,33186.785,7.949187078,10,1,0,14.34766616,119.68911299999999,1885.939118,4,4,3,3,4,3,2,5
84,0.0,1.0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1206,1.0,32.0,71596.14,8.999994263,11,0,0,2.257358355,195.40354519999997,631.7435653,5,3,5,5,3,3,5,2
85,0.0,1.0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,35279,1.0,33.0,10389.95,4.274255962,15,1,0,2.358129018,138.1911656,3382.4240000000004,3,3,4,3,3,4,3,6
86,0.0,1.0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1049,3.0,67.0,19657.14,15.45723779,12,3,0,4.650578623,115.8369419,593.8572264,3,3,2,2,5,4,2,3
87,0.0,1.0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,32203,0.0,66.0,27827.03,7.703726062,13,1,1,3.7217726160000004,208.068307,777.3060717999999,4,3,3,6,1,4,3,3
88,0.0,1.0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,25576,1.0,53.0,33186.785,8.926117575,12,4,0,3.76663012,187.62157280000002,1393.202392,4,4,4,3,3,3,3,5
89,0.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,319,0.0,61.0,19815.63,12.74200169,13,0,2,4.151256695,136.0997678,393.6524652,3,2,3,4,3,4,5,4
90,0.0,1.0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,55519,0.0,75.0,58482.9,7.83211249,13,0,0,2.188918771,192.00844840000002,3382.4240000000004,3,3,3,3,3,4,3,3
91,0.0,0.0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,15210,1.0,63.0,33186.785,13.60393581,9,1,0,13.85488928,221.03535269999998,2138.107161,3,2,3,2,4,3,2,4
92,0.0,1.0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,3499,0.0,68.0,115510.46,5.655483352,3,1,0,3.2733411510000003,163.0404044,443.98403099999996,2,2,2,4,3,3,4,3
93,0.0,1.0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,14479,2.0,32.0,33186.785,8.065866812000001,7,1,1,19.75096265,161.1025056,2481.385603,2,2,3,3,3,3,3,3
94,0.0,1.0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,4654,1.0,53.0,33186.785,11.47541549,7,1,0,18.38404445,186.6210869,2233.567181,3,2,3,4,2,4,5,3
95,0.0,1.0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,26320,0.0,29.0,24270.88,10.37979788,13,0,0,4.672610857,244.4658583,3382.4240000000004,5,5,4,5,1,5,5,4
96,0.0,1.0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,35,0.0,53.0,54466.33,8.657901827,17,0,1,6.796299371,124.8019028,529.40733,4,4,4,3,2,4,3,4
97,0.0,1.0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,521,10.0,23.0,64816.84,6.398436616000001,14,1,1,36.19603,188.611913,1956.7337,3,2,2,4,3,2,3,2
98,0.0,1.0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,17600,1.0,80.0,103311.26,9.33803434,15,1,0,20.31163945,162.44376499999998,2056.386979,5,4,4,3,4,4,5,5
99,0.0,1.0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,3324,0.0,20.0,33186.785,12.24404403,11,1,1,6.998814446,180.2362145,1067.373076,3,4,3,5,2,6,6,6
100,0.0,0.0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,55122,1.0,69.0,58077.38,10.82210354,12,1,1,14.46288204,222.7999248,1806.1357329999998,3,2,3,5,3,4,4,3
101,0.0,1.0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,4038,1.0,53.0,43466.35,14.2128601,10,1,0,11.13472066,182.8863727,1397.701335,3,4,4,4,3,4,2,3
102,0.0,1.0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,31927,0.0,53.0,23289.77,12.58013188,19,1,0,2.542296644,220.34000580000003,3382.4240000000004,2,4,3,2,3,3,5,3
103,0.0,1.0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,19904,2.0,25.0,49158.49,11.221006599999999,9,1,0,36.19603,170.91101930000002,1886.5319370000002,4,4,3,4,3,3,3,4
104,0.0,0.0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,13000,1.0,53.0,3805.84,15.66159152,16,0,2,22.79214163,205.7639543,2294.7811309999997,3,3,3,3,2,4,4,4
105,0.0,1.0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1444,3.0,71.0,52616.27,5.535347323,10,2,1,3.8236897439999997,203.78176509999997,826.3438621,3,5,3,2,4,2,4,2
106,0.0,1.0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,2158,3.0,53.0,30550.42,8.06201289,18,1,0,10.77094687,245.0660727,3382.4240000000004,3,3,2,4,3,2,4,3
107,0.0,1.0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1800,2.0,56.0,12154.01,13.04270304,11,0,2,13.08671185,170.90697869999997,1436.793746,4,4,3,3,5,3,2,2
108,0.0,0.0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,30,0.0,42.0,30649.31,13.73417339,9,2,2,14.76468813,173.540759,1963.3326829999999,4,3,4,3,5,4,2,3
109,0.0,1.0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,3682,3.0,33.0,31417.33,11.35797937,14,0,0,9.473091121,194.3065983,1324.164906,2,2,2,2,4,2,3,2
110,0.0,1.0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,41733,1.0,47.0,55861.19,13.82441538,16,1,0,5.197446331,135.5831384,704.9375603,4,4,4,4,3,3,4,3
111,0.0,1.0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,630,1.0,53.0,9044.26,12.83804501,18,3,1,6.5775526829999995,194.0043524,3382.4240000000004,3,4,4,4,2,3,4,4
112,0.0,1.0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,15383,1.0,63.0,33186.785,8.357284687,10,1,0,3.1745719180000003,158.0420478,377.0810282,4,3,4,2,3,3,3,3
113,0.0,1.0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,257,1.0,53.0,33186.785,8.32819175,9,0,0,17.88002366,113.21715060000001,1606.489936,3,3,3,3,3,3,3,4
114,1.0,1.0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1012,0.0,67.0,12527.51,10.54819139,14,2,0,13.12190056,175.1031837,1431.409396,5,4,4,3,3,5,3,4
